Time,LogSeconds,LogMilliseconds,DelayLevelInPercentage,ECU_ON_Injector_Microseconds,ComputedDelayToAddInMicroseconds,DelayAddedInMicroseconds,OnInjectorMicroseconds,OffInjectorMicroseconds,WarningCount,RPMs,NewInjectorDutyCycle (%),EcuInjectorDutyCycle (%)
15:10:48,10,793,5,7700,300,400,8100,51300,0,2020,13.63636364,12.96296296
15:10:48,10,852,5,7600,300,400,8000,50800,0,2033,13.60544218,12.92517007
15:10:48,10,910,5,7600,300,400,8000,51000,0,2054,13.55932203,12.88135593
15:10:48,10,970,5,7700,300,400,8100,51900,0,2047,13.5,12.83333333
15:10:49,11,29,5,7600,300,400,8000,51900,0,2013,13.35559265,12.68781302
15:10:49,11,88,5,7600,300,400,8000,51900,0,2016,13.35559265,12.68781302
15:10:49,11,147,5,7600,300,400,8000,50800,0,2016,13.60544218,12.92517007
15:10:49,11,205,5,7600,300,400,8000,50700,0,2054,13.6286201,12.9471891
15:10:49,11,263,5,7600,300,400,8000,51300,0,2058,13.49072513,12.81618887
15:10:49,11,323,5,7600,300,400,8000,51900,0,2037,13.35559265,12.68781302
15:10:49,11,382,5,7600,300,400,8000,51900,0,2016,13.35559265,12.68781302
15:10:49,11,441,5,7600,300,400,8000,51400,0,2016,13.46801347,12.79461279
15:10:49,11,500,5,7500,300,400,7900,51700,0,2033,13.25503356,12.58389262
15:10:49,11,559,5,7500,300,400,7900,51800,0,2027,13.23283082,12.56281407
15:10:49,11,618,5,7500,300,400,7900,51800,0,2023,13.23283082,12.56281407
15:10:49,11,677,5,7500,300,400,7900,51500,0,2023,13.2996633,12.62626263
15:10:49,11,736,5,7500,300,400,7900,51400,0,2033,13.32209106,12.64755481
15:10:49,11,795,5,7500,300,400,7900,51300,0,2037,13.34459459,12.66891892
15:10:49,11,854,5,7500,300,400,7900,51700,0,2040,13.25503356,12.58389262
15:10:49,11,913,5,7500,300,400,7900,52000,0,2027,13.18864775,12.52086811
15:10:49,11,973,5,7500,300,400,7900,52100,0,2016,13.16666667,12.5
15:10:50,12,34,5,7500,300,400,7900,52200,0,2013,13.14475874,12.47920133
15:10:50,12,92,5,7500,300,400,7900,52100,0,2010,13.16666667,12.5
15:10:50,12,151,5,7500,300,400,7900,52300,0,2013,13.12292359,12.45847176
15:10:50,12,210,5,7500,300,400,7900,51500,0,2006,13.2996633,12.62626263
15:10:50,12,269,5,7500,300,400,7900,51200,0,2033,13.36717428,12.69035533
15:10:50,12,327,5,7400,300,400,7800,51500,0,2044,13.153457,12.47892074
15:10:50,12,387,5,7500,300,400,7900,52500,0,2037,13.0794702,12.41721854
15:10:50,12,448,5,7500,300,400,7900,53300,0,2000,12.90849673,12.25490196
15:10:50,12,510,5,7500,300,400,7900,54700,0,1973,12.61980831,11.98083067
15:10:50,12,571,5,7500,300,400,7900,53300,0,1929,12.90849673,12.25490196
15:10:50,12,630,5,7500,300,400,7900,52100,0,1973,13.16666667,12.5
15:10:50,12,690,5,7500,300,400,7900,53000,0,2013,12.97208539,12.31527094
15:10:50,12,750,5,7400,300,400,7800,52200,0,1983,13,12.33333333
15:10:50,12,809,5,7500,300,400,7900,51700,0,2013,13.25503356,12.58389262
15:10:50,12,868,5,7400,300,400,7800,51900,0,2027,13.06532663,12.39530988
15:10:50,12,928,5,7400,300,400,7800,52800,0,2023,12.87128713,12.21122112
15:10:50,12,990,5,7400,300,400,7800,55000,0,1993,12.42038217,11.78343949
15:10:51,13,52,5,7400,300,400,7800,53900,0,1923,12.64181524,11.99351702
15:10:51,13,112,5,7400,300,400,7800,53100,0,1957,12.80788177,12.15106732
15:10:51,13,171,5,7400,300,400,7800,51500,0,1983,13.153457,12.47892074
15:10:51,13,231,5,7400,300,400,7800,53000,0,2037,12.82894737,12.17105263
15:10:51,13,293,5,7400,300,400,7800,54300,0,1986,12.56038647,11.91626409
15:10:51,13,351,5,7400,300,400,7800,51200,0,1944,13.22033898,12.54237288
15:10:51,13,411,5,7400,300,400,7800,52300,0,2047,12.97836938,12.31281198
15:10:51,13,473,5,7500,300,400,7900,54700,0,2010,12.61980831,11.98083067
15:10:51,13,533,5,7400,300,400,7800,53300,0,1929,12.76595745,12.11129296
15:10:51,13,594,5,7400,300,400,7800,53400,0,1976,12.74509804,12.09150327
15:10:51,13,655,5,7400,300,400,7800,53500,0,1973,12.72430669,12.07177814
15:10:51,13,715,5,7400,300,400,7800,53300,0,1970,12.76595745,12.11129296
15:10:51,13,776,5,7400,300,400,7800,53100,0,1976,12.80788177,12.15106732
15:10:51,13,834,5,7400,300,400,7800,51600,0,1983,13.13131313,12.45791246
15:10:51,13,896,5,7400,300,400,7800,54100,0,2033,12.60096931,11.95476575
15:10:51,13,956,5,7400,300,400,7800,53200,0,1951,12.78688525,12.13114754
15:10:52,14,18,5,7400,300,400,7800,54100,0,1980,12.60096931,11.95476575
15:10:52,14,79,5,7400,300,400,7800,54600,0,1951,12.5,11.85897436
15:10:52,14,142,5,7400,300,400,7800,55200,0,1935,12.38095238,11.74603175
15:10:52,14,204,5,7400,300,400,7800,55200,0,1916,12.38095238,11.74603175
15:10:52,14,266,5,7400,300,400,7800,55000,0,1916,12.42038217,11.78343949
15:10:52,14,329,5,7400,300,400,7800,55400,0,1923,12.34177215,11.70886076
15:10:52,14,391,5,7400,300,400,7800,54900,0,1910,12.44019139,11.80223285
15:10:52,14,453,5,7400,300,400,7800,54600,0,1926,12.5,11.85897436
15:10:52,14,515,5,7400,300,400,7800,54500,0,1935,12.52006421,11.87800963
15:10:52,14,576,5,7400,300,400,7800,54000,0,1938,12.62135922,11.97411003
15:10:52,14,637,5,7400,300,400,7800,53800,0,1954,12.66233766,12.01298701
15:10:52,14,698,5,7400,300,400,7800,53700,0,1960,12.68292683,12.03252033
15:10:52,14,759,5,7300,300,400,7700,53400,0,1963,12.60229133,11.94762684
15:10:52,14,819,5,7400,300,400,7800,53400,0,1976,12.74509804,12.09150327
15:10:52,14,880,5,7400,300,400,7800,53800,0,1973,12.66233766,12.01298701
15:10:52,14,941,5,7400,300,400,7800,53900,0,1960,12.64181524,11.99351702
15:10:53,15,3,5,7400,300,400,7800,54000,0,1957,12.62135922,11.97411003
15:10:53,15,64,5,7400,300,400,7800,54500,0,1954,12.52006421,11.87800963
15:10:53,15,126,5,7400,300,400,7800,54700,0,1938,12.48,11.84
15:10:53,15,187,5,7400,300,400,7800,54500,0,1932,12.52006421,11.87800963
15:10:53,15,250,5,7400,300,400,7800,54600,0,1938,12.5,11.85897436
15:10:53,15,312,5,7400,300,400,7800,54300,0,1935,12.56038647,11.91626409
15:10:53,15,373,5,7300,300,400,7700,54400,0,1944,12.39935588,11.75523349
15:10:53,15,434,5,7400,300,400,7800,54000,0,1944,12.62135922,11.97411003
15:10:53,15,494,5,7400,300,400,7800,53800,0,1954,12.66233766,12.01298701
15:10:53,15,555,5,7400,300,400,7800,53700,0,1960,12.68292683,12.03252033
15:10:53,15,617,5,7300,300,400,7700,54000,0,1963,12.47974068,11.83144246
15:10:53,15,679,5,7300,300,400,7700,54200,0,1957,12.43941842,11.79321486
15:10:53,15,740,5,7400,300,400,7800,54300,0,1951,12.56038647,11.91626409
15:10:53,15,802,5,7300,300,400,7700,54500,0,1944,12.37942122,11.73633441
15:10:53,15,863,5,7300,300,400,7700,53900,0,1941,12.5,11.85064935
15:10:53,15,922,5,7300,300,400,7700,53200,0,1960,12.64367816,11.98686371
15:10:53,15,983,5,7300,300,400,7700,53200,0,1983,12.64367816,11.98686371
15:10:54,16,44,5,7300,300,400,7700,53400,0,1983,12.60229133,11.94762684
15:10:54,16,105,5,7300,300,400,7700,53100,0,1976,12.66447368,12.00657895
15:10:54,16,165,5,7300,300,400,7700,53000,0,1986,12.68533773,12.02635914
15:10:54,16,225,5,7300,300,400,7700,53000,0,1990,12.68533773,12.02635914
15:10:54,16,285,5,7300,300,400,7700,53000,0,1990,12.68533773,12.02635914
15:10:54,16,345,5,7300,300,400,7700,53500,0,1990,12.58169935,11.92810458
15:10:54,16,407,5,7300,300,400,7700,54100,0,1973,12.45954693,11.81229773
15:10:54,16,468,5,7300,300,400,7700,53800,0,1954,12.5203252,11.8699187
15:10:54,16,529,5,7300,300,400,7700,53900,0,1963,12.5,11.85064935
15:10:54,16,590,5,7300,300,400,7700,53300,0,1960,12.62295082,11.96721311
15:10:54,16,649,5,7300,300,400,7700,52700,0,1980,12.74834437,12.08609272
15:10:54,16,709,5,7300,300,400,7700,52900,0,2000,12.70627063,12.04620462
15:10:54,16,770,5,7300,300,400,7700,53300,0,1993,12.62295082,11.96721311
15:10:54,16,829,5,7300,300,400,7700,53500,0,1980,12.58169935,11.92810458
15:10:54,16,891,5,7300,300,400,7700,53800,0,1973,12.5203252,11.8699187
